Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy(low-quality client),Client 6 Accuracy(low-quality client),Client 7 Accuracy(low-quality client),Client 8 Accuracy(low-quality client),Client 9 Accuracy,Client 10 Accuracy
0011001011,202,"[1, 2, 4, 7, 8]",0.3042105263157895,1,4,8,10,0.2863157894736842,0.28526315789473683,0.4747368421052632,0.25894736842105265,0.36210526315789476,0.511578947368421,0.15473684210526314,0.22736842105263158,0.5378947368421053,0.4242105263157895
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5536842105263158,1,4,8,10,0.2863157894736842,0.28526315789473683,0.4747368421052632,0.25894736842105265,0.36210526315789476,0.511578947368421,0.15473684210526314,0.22736842105263158,0.5378947368421053,0.4242105263157895
0011010111,214,"[1, 2, 3, 5, 7, 8]",0.3452631578947368,3,4,8,10,0.24947368421052632,0.33473684210526317,0.26631578947368423,0.45052631578947366,0.18210526315789474,0.38,0.34421052631578947,0.29157894736842105,0.5052631578947369,0.5094736842105263
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5136842105263157,3,4,8,10,0.24947368421052632,0.33473684210526317,0.26631578947368423,0.45052631578947366,0.18210526315789474,0.38,0.34421052631578947,0.29157894736842105,0.5052631578947369,0.5094736842105263
0010001110,141,"[2, 3, 4, 8]",0.24105263157894738,4,4,8,10,0.3757894736842105,0.18736842105263157,0.19789473684210526,0.20526315789473684,0.2736842105263158,0.2673684210526316,0.3231578947368421,0.2168421052631579,0.5452631578947369,0.4631578947368421
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6094736842105263,5,4,8,10,0.1831578947368421,0.29578947368421055,0.27263157894736845,0.4326315789473684,0.3273684210526316,0.26105263157894737,0.33473684210526317,0.4705263157894737,0.5178947368421053,0.4694736842105263
0010111110,189,"[2, 3, 4, 5, 6, 8]",0.29789473684210527,6,4,8,10,0.32842105263157895,0.25263157894736843,0.2,0.21789473684210525,0.23473684210526316,0.2968421052631579,0.5305263157894737,0.27157894736842103,0.4863157894736842,0.5726315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.58,7,4,8,10,0.26,0.3273684210526316,0.1957894736842105,0.44,0.4,0.391578947368421,0.26,0.4431578947368421,0.508421052631579,0.5063157894736842
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.4747368421052632,8,4,8,10,0.21789473684210525,0.23684210526315788,0.29368421052631577,0.28210526315789475,0.34421052631578947,0.2968421052631579,0.39789473684210525,0.3136842105263158,0.5842105263157895,0.4473684210526316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5105263157894737,9,4,8,10,0.4473684210526316,0.26526315789473687,0.23894736842105263,0.32105263157894737,0.4168421052631579,0.3273684210526316,0.23894736842105263,0.2578947368421053,0.4421052631578947,0.3863157894736842
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.4010526315789474,11,4,8,10,0.2336842105263158,0.34842105263157896,0.3568421052631579,0.36210526315789476,0.26631578947368423,0.2831578947368421,0.3273684210526316,0.21473684210526317,0.5768421052631579,0.5
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5789473684210527,12,4,8,10,0.2063157894736842,0.30736842105263157,0.38,0.2536842105263158,0.47368421052631576,0.3894736842105263,0.4305263157894737,0.24210526315789474,0.4768421052631579,0.3936842105263158
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.58,13,4,8,10,0.20421052631578948,0.19263157894736843,0.24421052631578946,0.3831578947368421,0.42526315789473684,0.3126315789473684,0.36526315789473685,0.38,0.4052631578947368,0.5368421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5421052631578948,14,4,8,10,0.2694736842105263,0.3294736842105263,0.2063157894736842,0.3494736842105263,0.3105263157894737,0.2231578947368421,0.4515789473684211,0.45263157894736844,0.48,0.41789473684210526
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.39263157894736844,15,4,8,10,0.32210526315789473,0.24210526315789474,0.27789473684210525,0.2231578947368421,0.19789473684210526,0.3631578947368421,0.3357894736842105,0.2768421052631579,0.5431578947368421,0.42526315789473684
0010110101,180,"[1, 3, 5, 6, 8]",0.3642105263157895,16,4,8,10,0.24736842105263157,0.4336842105263158,0.2873684210526316,0.5168421052631579,0.3463157894736842,0.2968421052631579,0.4936842105263158,0.29157894736842105,0.4726315789473684,0.44842105263157894
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6010526315789474,16,4,8,10,0.24736842105263157,0.4336842105263158,0.2873684210526316,0.5168421052631579,0.3463157894736842,0.2968421052631579,0.4936842105263158,0.29157894736842105,0.4726315789473684,0.44842105263157894
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.3473684210526316,17,4,8,10,0.22842105263157894,0.33789473684210525,0.3042105263157895,0.30736842105263157,0.22736842105263158,0.28,0.30842105263157893,0.21789473684210525,0.5494736842105263,0.43894736842105264
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.3389473684210526,18,4,8,10,0.29578947368421055,0.23789473684210527,0.28526315789473683,0.3357894736842105,0.2168421052631579,0.25684210526315787,0.27789473684210525,0.34842105263157896,0.5705263157894737,0.5768421052631579
0010101011,170,"[1, 2, 4, 6, 8]",0.32,20,4,8,10,0.24210526315789474,0.21789473684210525,0.3431578947368421,0.28421052631578947,0.4063157894736842,0.26105263157894737,0.4568421052631579,0.24421052631578946,0.49894736842105264,0.45789473684210524
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5210526315789473,20,4,8,10,0.24210526315789474,0.21789473684210525,0.3431578947368421,0.28421052631578947,0.4063157894736842,0.26105263157894737,0.4568421052631579,0.24421052631578946,0.49894736842105264,0.45789473684210524
0010011011,154,"[1, 2, 4, 5, 8]",0.3063157894736842,21,4,8,10,0.19894736842105262,0.3031578947368421,0.35578947368421054,0.2073684210526316,0.29473684210526313,0.3863157894736842,0.32210526315789473,0.27157894736842103,0.4263157894736842,0.5326315789473685
