Nash Equilibrium,Occurrences,Subsample Ratio,Max Depth
0000000010,6,0.6,10
1000000000,8,0.6,10
1111111111,10,0.6,10
0000000001,4,0.6,10
0000000100,1,0.6,10
0000100000,1,0.6,10
0000000010,9,0.6,100
1111111111,10,0.6,100
0000000001,1,0.6,100
0000100000,1,0.6,100
1111111111,10,0.7,10
1000000000,2,0.7,10
0000000001,4,0.7,10
0000000010,5,0.7,10
0000000010,9,0.7,100
1111111111,10,0.7,100
0000000001,2,0.7,100
0010000000,1,0.7,100
0000100000,1,0.7,100
0100000000,1,0.7,100
1000000000,2,0.8,10
1111111111,10,0.8,10
0000000010,6,0.8,10
0000000001,2,0.8,10
1111111111,10,0.8,100
0000000010,8,0.8,100
0010000000,1,0.8,100
0000000001,1,0.8,100
