Trial,Combination,Clients,Client 1 Accuracy,Client 1 Shapley Value,Client 2 Accuracy,Client 2 Shapley Value,Client 3 Accuracy,Client 3 Shapley Value,Client 4 Accuracy,Client 4 Shapley Value,Client 5 Accuracy,Client 5 Shapley Value,Client 6 Accuracy,Client 6 Shapley Value,Client 7 Accuracy,Client 7 Shapley Value,Client 8 Accuracy,Client 8 Shapley Value,Client 9 Accuracy,Client 9 Shapley Value,Client 10 Accuracy,Client 10 Shapley Value,Global Accuracy,Subsample Ratio,Max Depth
1,0000000010,2,,,0.5514247079715221,0.05364184028006558,,,,,,,,,,,,,,,,,0.5490298300777113,0.6,10
1,1000000000,10,,,,,,,,,,,,,,,,,,,0.6493540346361252,0.08038412376296353,0.6485883253775598,0.6,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6769195679444779,0.08487378163146095,0.5514247079715221,0.05364184028006558,0.7184959515159414,0.10682549199614037,0.7096006907675013,0.1087768436403248,0.7367752236033952,0.11599230873974901,0.6619963832456297,0.0931734757673324,0.7425098971994591,0.11970395309985764,0.763232922239781,0.12760053324899737,0.7330770108013881,0.10902764783310845,0.6493540346361252,0.08038412376296353,0.8830908587347877,0.6,10
2,0000000010,2,,,0.5479708704648019,0.05955064204196487,,,,,,,,,,,,,,,,,0.5453804923347616,0.6,10
2,1000000000,10,,,,,,,,,,,,,,,,,,,0.6296899692087128,0.08122481627522679,0.6291849269317867,0.6,10
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.592512340952412,0.0743946723823867,0.5479708704648019,0.05955064204196487,0.6549583747413695,0.08866455096414905,0.7277985044231928,0.12060405085031829,0.7513399912024894,0.1250040591289006,0.6441732783760447,0.0851907746858439,0.7681367198318698,0.13126335978107226,0.7470552776917939,0.12927761497537274,0.687427705641811,0.10482545891476543,0.6296899692087128,0.08122481627522679,0.8871311969501963,0.6,10
3,0000000010,2,,,0.5697691468043857,0.06923539067120488,,,,,,,,,,,,,,,,,0.5680259363646731,0.6,10
3,1000000000,10,,,,,,,,,,,,,,,,,,,0.6185138723709291,0.07562546401524287,0.6165425783222821,0.6,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5896287124680276,0.0730197431627161,0.5697691468043857,0.06923539067120488,0.662973884426777,0.09207353688696213,0.6836806177807465,0.10366274647860524,0.7456867760381877,0.12560304057464888,0.6781740277936169,0.0917022588488823,0.7786122741564979,0.1284308303067175,0.7401964777374106,0.12204123981653896,0.7362213062674118,0.11860574923848087,0.6185138723709291,0.07562546401524287,0.883677359443476,0.6,10
4,0000000001,1,0.590182629804011,0.07103529079159462,,,,,,,,,,,,,,,,,,,0.5883090858734787,0.6,10
4,0000000010,2,,,0.5795767419885632,0.0651692402633894,,,,,,,,,,,,,,,,,0.57630211303172,0.6,10
4,1000000000,10,,,,,,,,,,,,,,,,,,,0.623026669490559,0.07135745964749347,0.6213649174826086,0.6,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.590182629804011,0.07103529079159462,0.5795767419885632,0.0651692402633894,0.6905557094214823,0.10110684584814036,0.7027418908131181,0.10794588602824594,0.7406526449552793,0.12243098042137447,0.7231227904400385,0.10224199923877914,0.7513725745751942,0.11999360066165002,0.7565533308352748,0.1244165512995336,0.7260878773561852,0.11430214579979896,0.623026669490559,0.07135745964749347,0.8954888320490054,0.6,10
5,0000000001,1,0.6213160424235512,0.06830157195722802,,,,,,,,,,,,,,,,,,,0.6129258239520373,0.6,10
5,0000000010,2,,,0.5957218031638455,0.07206835883102615,,,,,,,,,,,,,,,,,0.5923331324025349,0.6,10
5,1000000000,10,,,,,,,,,,,,,,,,,,,0.6343982665645721,0.07305109266313796,0.633714015737769,0.6,10
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6213160424235512,0.06830157195722802,0.5957218031638455,0.07206835883102615,0.7151561558136883,0.10248431690676256,0.7502647399032274,0.11404765957988873,0.7330281357423307,0.11125733127429403,0.7699939720760496,0.12038750007961707,0.7822941952721526,0.12145355667772031,0.7577914989980613,0.12053676740093773,0.6991740115019306,0.09641184462938746,0.6343982665645721,0.07305109266313796,0.8932079959596618,0.6,10
6,0000000001,1,0.6197683322200681,0.08529277996440268,,,,,,,,,,,,,,,,,,,0.6188885811570356,0.6,10
6,0000000010,2,,,0.5878203352829051,0.06760747378989121,,,,,,,,,,,,,,,,,0.5861748749613073,0.6,10
6,0000000100,3,,,,,0.6775060686531663,0.09509369423224769,,,,,,,,,,,,,,,0.6758280249588635,0.6,10
6,1000000000,10,,,,,,,,,,,,,,,,,,,0.6190352063342076,0.07893515334588883,0.6176341213078966,0.6,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6197683322200681,0.08529277996440268,0.5878203352829051,0.06760747378989121,0.6775060686531663,0.09509369423224769,0.6788256952477151,0.10174029185564497,0.7181375344161874,0.11155886958545824,0.6507877030351412,0.09087736561073859,0.7844772812433815,0.13597676152621718,0.7530180348967922,0.12881339007977652,0.7116371515615582,0.10410422000973396,0.6190352063342076,0.07893515334588883,0.8798813965233542,0.6,10
7,1000000000,10,,,,,,,,,,,,,,,,,,,0.634642641859859,0.07777413081740732,0.6339095159739985,0.6,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5897427542724948,0.07257475691023169,0.5506752903993092,0.06328346458057647,0.6304230950945733,0.08240792977730875,0.6956061321907431,0.10639899999624461,0.7596161678695362,0.12062283150292029,0.7732034342874831,0.128832630372695,0.7443182743845815,0.1154301810018929,0.7741320604095729,0.12910031004218317,0.7119955686613121,0.10357476499853974,0.634642641859859,0.07777413081740732,0.8952118733810137,0.6,10
8,0000100000,6,,,,,,,,,,,0.5852788322119222,0.06732755902253196,,,,,,,,,0.5929847998566331,0.6,10
