Nash Equilibrium,0 Low-Quality Clients,1 Low-Quality Clients,2 Low-Quality Clients,3 Low-Quality Clients,4 Low-Quality Clients,5 Low-Quality Clients,6 Low-Quality Clients,7 Low-Quality Clients,8 Low-Quality Clients,9 Low-Quality Clients,10 Low-Quality Clients
0000000011,4,2,3,0,2,2,1,1,0,0,1
0000000101,0,1,1,1,1,0,0,0,1,1,0
0000000110,3,1,1,1,1,2,0,1,0,1,0
0000000111,0,0,0,1,0,0,0,0,0,0,0
0000001001,0,2,1,3,3,0,0,0,1,1,2
0000001010,2,2,3,0,3,0,0,1,0,0,0
0000001100,2,3,2,1,0,1,2,0,1,2,1
0000001101,0,0,0,0,1,0,1,0,0,0,0
0000001111,0,0,0,0,1,0,1,0,0,0,0
0000010001,3,2,1,0,3,3,0,1,0,0,1
0000010010,2,0,0,1,1,1,0,0,1,0,1
0000010011,0,0,0,1,0,1,0,1,0,0,0
0000010100,2,2,1,1,1,0,0,1,2,0,0
0000010110,1,0,0,0,0,0,0,0,0,0,0
0000010111,0,1,0,0,1,0,0,0,0,0,0
0000011000,2,1,1,1,0,0,0,0,0,1,1
0000011010,0,0,0,0,0,0,0,0,0,1,0
0000011011,0,0,1,0,2,0,0,0,0,0,0
0000011101,0,0,0,1,0,0,1,0,0,0,2
0000011110,0,0,0,0,0,0,0,1,1,0,0
0000100001,0,2,1,3,0,2,1,2,0,1,0
0000100010,5,0,0,0,1,0,1,0,0,1,1
0000100100,0,4,2,3,0,0,0,0,2,0,1
0000100101,1,0,0,0,0,0,0,0,0,0,0
0000100110,0,0,0,0,0,0,2,0,0,0,0
0000100111,0,0,0,0,0,1,0,0,0,0,0
0000101000,0,1,2,0,0,2,0,1,3,1,0
0000101011,0,1,0,0,0,0,0,1,0,0,0
0000101101,0,0,0,0,0,0,0,0,1,0,0
0000110000,4,1,3,0,0,0,2,0,0,1,0
0000110011,0,0,0,0,0,0,1,0,0,0,0
0000110110,0,0,0,0,0,0,0,0,0,1,0
0000111001,0,1,0,0,0,0,0,0,1,0,0
0000111100,1,0,0,0,0,0,0,0,0,0,0
0000111111,0,0,0,0,1,0,0,0,0,0,0
0001000001,1,2,0,1,0,0,1,1,2,0,0
0001000010,2,1,1,1,2,0,2,2,1,3,0
0001000011,0,0,1,0,0,0,0,0,1,0,0
0001000100,2,2,1,0,1,0,2,0,2,0,1
0001000111,1,0,1,1,0,0,0,0,0,0,0
0001001000,1,0,0,1,1,0,3,1,0,1,0
0001001101,0,0,0,0,1,0,0,0,0,0,0
0001010000,2,1,2,1,0,0,0,1,2,0,1
0001010100,0,0,0,0,0,0,1,0,0,0,1
0001010101,0,0,0,0,0,1,0,0,0,0,0
0001011001,0,0,0,0,1,0,0,0,0,0,0
0001011100,0,0,0,0,0,0,0,0,1,0,0
0001100000,1,0,0,2,1,2,1,0,0,1,0
0001100100,0,0,0,0,0,0,1,0,0,0,0
0001110011,0,0,0,0,0,0,0,0,1,0,0
0001111000,0,0,0,0,0,1,0,0,0,0,0
0001111111,0,0,0,0,0,0,1,0,0,0,0
0010000001,2,4,2,0,1,0,0,0,0,0,0
0010000010,1,1,0,3,1,1,1,2,1,1,2
0010000100,0,1,0,3,1,3,0,1,1,0,1
0010000111,1,0,0,1,0,0,0,1,0,0,0
0010001000,1,0,0,2,1,3,5,1,0,0,1
0010001011,0,0,0,0,0,0,0,1,0,0,0
0010001100,0,0,1,0,0,0,0,0,0,0,0
0010001101,1,0,0,1,0,0,1,0,0,0,0
0010001110,1,0,0,0,1,0,0,0,0,0,0
0010010000,0,0,0,1,2,2,1,2,0,0,0
0010010001,0,0,1,0,0,0,0,0,0,0,0
0010010011,0,0,0,0,0,0,0,1,0,0,0
0010010100,0,0,0,0,0,0,1,0,0,0,0
0010010101,1,0,0,0,0,1,0,0,0,0,0
0010010110,0,0,0,1,0,0,0,0,0,0,0
0010011010,0,0,0,0,0,0,0,0,0,0,1
0010011100,0,0,0,0,0,1,0,0,0,0,0
0010100000,1,0,1,0,0,2,1,0,0,0,0
0010100011,0,1,0,0,0,0,0,0,0,0,0
0010111000,0,0,0,0,0,0,1,0,0,0,0
0010111011,0,1,0,0,0,0,0,0,0,0,0
0010111111,0,0,0,0,0,0,1,0,0,0,0
0011000000,1,1,0,1,0,0,1,0,3,1,0
0011000100,0,0,0,0,0,0,0,1,0,0,0
0011000101,0,0,0,0,0,0,0,0,1,0,0
0011000110,1,0,0,0,0,0,0,0,0,0,0
0011001001,0,0,0,0,0,0,0,0,1,0,0
0011010001,0,0,0,0,0,0,0,0,0,1,0
0011010111,0,0,0,0,0,1,0,0,0,0,0
0011011110,0,0,0,0,0,1,0,0,0,0,0
0100000001,1,2,0,0,3,3,2,1,1,0,1
0100000010,2,2,1,0,0,0,2,0,1,0,0
0100000100,2,3,2,2,1,0,0,0,0,0,0
0100000111,0,0,1,0,0,0,0,0,0,0,0
0100001000,2,0,0,0,2,2,0,1,1,1,2
0100001011,0,0,0,0,2,0,0,0,0,0,0
0100001111,0,0,0,0,1,0,0,0,0,0,0
0100010000,2,0,1,1,3,0,0,2,1,0,1
0100010011,0,0,0,0,0,1,0,0,0,0,0
0100010101,1,0,0,0,0,0,0,0,0,0,0
0100011001,0,2,0,0,0,0,0,0,0,0,0
0100100000,1,1,0,3,1,0,4,1,2,0,0
0100100011,0,0,0,1,0,1,0,0,0,0,0
0100100101,0,1,0,0,0,0,2,0,0,0,0
0100101001,0,0,0,0,1,0,0,0,0,0,0
0100101111,0,1,0,0,0,0,0,0,0,0,0
0100110001,0,0,0,1,1,0,1,0,0,0,0
0100110011,0,0,0,0,0,0,1,0,0,0,0
0100110100,0,1,0,0,0,0,0,0,0,0,0
0100110111,0,0,0,0,0,0,0,1,0,0,0
0100111011,0,0,0,0,0,0,1,0,0,0,0
0100111101,0,1,0,0,0,0,0,0,0,1,0
0101000000,3,1,1,2,1,3,2,0,0,0,0
0101000101,0,1,0,0,0,0,0,0,0,0,0
0101001001,0,0,0,0,0,0,1,0,0,0,0
0101001010,0,0,0,0,0,0,0,1,0,0,1
0101001100,0,0,0,1,0,0,0,0,0,0,0
0101001111,0,0,0,2,0,0,0,0,0,0,0
0101010001,0,1,0,0,0,0,0,0,0,0,0
0101010100,0,1,0,0,0,0,0,0,0,0,0
0101010111,0,0,1,0,0,0,0,0,0,0,0
0101011101,1,0,0,0,0,0,0,0,0,0,0
0101100001,1,0,0,0,0,0,0,0,0,0,0
0101100010,0,0,0,1,0,0,0,0,0,0,0
0101100111,0,0,0,1,0,1,0,0,0,0,0
0101101011,0,0,0,0,0,0,1,1,0,0,0
0101110110,0,0,0,0,0,0,0,0,1,0,0
0101111001,0,0,0,0,0,0,1,0,0,0,0
0101111100,0,0,0,0,0,0,0,0,1,0,0
0101111111,0,0,0,0,0,0,0,1,0,1,0
0110000000,0,0,1,1,1,3,0,0,0,0,0
0110000011,1,0,0,0,0,0,0,0,0,0,0
0110000101,1,0,0,0,0,0,0,0,0,0,0
0110001000,0,1,0,0,0,0,0,0,0,0,0
0110001001,0,0,0,0,1,0,0,0,0,0,0
0110001010,0,0,0,0,0,2,0,0,0,0,0
0110010001,1,0,0,0,0,0,0,0,0,0,0
0110010100,0,0,0,0,1,0,0,0,0,0,0
0110010111,0,0,0,0,0,1,0,0,0,0,0
0110011000,0,0,0,0,0,0,1,0,0,0,0
0110011101,0,0,0,0,1,0,0,0,0,0,0
0110100111,0,0,0,0,0,0,0,1,0,0,0
0110101000,1,0,0,0,0,0,0,0,0,0,0
0110110000,0,0,0,0,0,0,0,1,0,0,0
0111000001,1,0,0,0,0,0,0,0,0,0,0
0111001000,0,0,0,0,0,0,0,1,0,0,0
0111001011,0,1,0,0,0,0,0,0,0,0,0
0111010101,0,0,0,0,0,1,0,0,0,0,0
0111010110,1,0,0,0,0,0,0,0,0,0,0
0111011111,0,0,0,0,0,1,0,0,0,0,0
0111101001,0,1,0,0,0,0,1,0,0,0,0
0111101111,0,0,0,0,0,0,0,0,0,1,0
0111111011,0,0,1,0,0,0,0,0,0,1,0
0111111101,0,0,0,0,0,0,0,0,0,1,0
0111111111,0,0,0,0,0,0,0,0,1,0,0
1000000001,0,0,1,0,1,2,1,1,0,0,1
1000000010,2,0,0,2,2,0,1,1,0,1,1
1000000100,1,0,1,3,0,1,2,0,1,3,0
1000000111,0,1,0,1,0,0,0,0,0,0,0
1000001000,1,0,2,2,1,0,0,0,1,2,1
1000010000,4,1,0,0,1,0,1,0,0,1,1
1000010001,0,1,0,0,0,0,0,0,0,0,0
1000010101,0,1,0,0,0,0,0,0,0,0,0
1000011000,0,0,0,1,0,0,0,0,0,0,0
1000011111,0,0,0,1,0,0,0,0,0,0,0
1000100000,0,2,1,0,0,0,0,0,0,1,0
1000100010,0,0,0,0,0,0,0,0,0,1,0
1000100011,1,0,0,0,0,0,0,0,0,0,0
1000100100,1,0,0,0,0,0,0,0,0,0,0
1000101010,0,0,0,0,0,0,0,0,0,0,1
1000110001,0,1,1,0,0,0,0,0,0,0,0
1000110010,0,0,0,0,0,0,0,0,0,0,1
1000110100,0,1,0,0,0,0,0,0,0,0,0
1000110111,0,0,0,0,1,0,0,0,0,0,0
1001000000,1,2,2,2,0,1,3,0,3,3,0
1001000011,0,0,2,2,0,0,0,0,0,0,0
1001000101,0,0,1,0,0,0,0,0,0,0,0
1001000110,0,0,0,0,0,0,0,1,0,0,0
1001001011,0,0,0,0,0,1,0,0,0,0,0
1001010010,0,0,0,1,0,0,0,0,0,0,0
1001010100,0,0,0,0,0,0,0,0,0,1,0
1001010111,1,1,0,0,0,0,0,0,0,0,0
1001011000,0,0,0,0,0,0,0,0,1,0,0
1001011110,1,0,0,0,0,0,0,0,0,0,0
1001100010,0,0,0,0,0,0,0,0,0,1,0
1001110110,0,0,0,0,0,0,0,0,0,1,0
1001111111,0,0,0,0,0,0,0,1,0,0,0
1010000000,1,1,2,1,0,0,1,0,0,0,0
1010000011,1,0,0,0,0,0,0,2,0,0,0
1010000101,1,0,0,0,0,0,0,0,0,0,0
1010001001,0,0,0,0,0,0,0,0,0,0,1
