Trial,Combination,Clients,Client 1 Accuracy,Client 1 Shapley Value,Client 2 Accuracy,Client 2 Shapley Value,Client 3 Accuracy,Client 3 Shapley Value,Client 4 Accuracy,Client 4 Shapley Value,Client 5 Accuracy,Client 5 Shapley Value,Client 6 Accuracy,Client 6 Shapley Value,Client 7 Accuracy,Client 7 Shapley Value,Client 8 Accuracy,Client 8 Shapley Value,Client 9 Accuracy,Client 9 Shapley Value,Client 10 Accuracy,Client 10 Shapley Value,Global Accuracy,Max Depth
1,0001000000,7,,,,,,,,,,,,,0.8175895765472313,0.08862136086662144,,,,,,,0.8175895765472313,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8599348534201955,0.09967323027157135,0.8794788273615635,0.1097725306552321,0.8675352877307275,0.10095491988264506,0.8512486427795874,0.09765948243436398,0.8458197611292074,0.09540030467163171,0.8925081433224755,0.10729707364778439,0.8175895765472313,0.08862136086662144,0.8653637350705755,0.1004527758970885,0.8642779587404995,0.10060229067930497,0.8534201954397395,0.09956603099375629,0.9163952225841476,10
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8816503800217155,0.104297396528705,0.8783930510314875,0.10382176234979965,0.8773072747014115,0.10202584928052219,0.8555917480998915,0.09525524773772436,0.8729641693811075,0.102217308262869,0.8740499457111836,0.10055815160955346,0.8805646036916395,0.10228869974781182,0.8621064060803475,0.09854760050437635,0.8610206297502715,0.09602942812639086,0.8642779587404995,0.0949585558522475,0.9294245385450597,10
3,0000010000,5,,,,,,,,,0.8371335504885994,0.08866863685364845,,,,,,,,,,,0.8371335504885994,10
3,1000000000,10,,,,,,,,,,,,,,,,,,,0.8479913137893594,0.09123731459797027,0.8479913137893594,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8566775244299675,0.09879372514032937,0.8773072747014115,0.10177781495111708,0.8664495114006515,0.09794803167168502,0.9022801302931596,0.11142522582803613,0.8371335504885994,0.08866863685364845,0.8642779587404995,0.10184565629530515,0.8610206297502715,0.09903860451284349,0.8881650380021715,0.10436740269878436,0.8729641693811075,0.10489758745028056,0.8479913137893594,0.09123731459797027,0.9272529858849077,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8729641693811075,0.10136466949847238,0.8534201954397395,0.0925464825992996,0.8751357220412594,0.1041573515165065,0.8675352877307275,0.10044386690513456,0.8664495114006515,0.10489650868171993,0.8371335504885994,0.0916117072807215,0.8610206297502715,0.09562933154482453,0.8903365906623235,0.10615265668082577,0.8686210640608035,0.0992366234443699,0.8805646036916395,0.10396080184812558,0.9250814332247557,10
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8642779587404995,0.09724042950513523,0.8870792616720955,0.10247852474323055,0.8794788273615635,0.1003776844070962,0.8816503800217155,0.10551727357609703,0.8588490770901195,0.09585107376283859,0.8740499457111836,0.09839215686274502,0.8935939196525515,0.10487768440709618,0.8751357220412594,0.09769421101774041,0.8664495114006515,0.10144070961718013,0.8675352877307275,0.09613025210084021,0.9229098805646037,10
6,0000000001,1,0.8523344191096635,0.0939413265306123,,,,,,,,,,,,,,,,,,,0.8523344191096635,10
6,0000000100,3,,,,,0.8588490770901195,0.09825727513227496,,,,,,,,,,,,,,,0.8588490770901195,10
6,0000001000,4,,,,,,,0.8555917480998915,0.09849773242630398,,,,,,,,,,,,,0.8555917480998915,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8523344191096635,0.0939413265306123,0.8577633007600435,0.0983682917611487,0.8588490770901195,0.09825727513227496,0.8555917480998915,0.09849773242630398,0.8512486427795874,0.09251889644746805,0.8762214983713354,0.10973497732426303,0.8729641693811075,0.10116307634164771,0.8686210640608035,0.10084750566893419,0.8642779587404995,0.1039668367346938,0.8675352877307275,0.10270408163265289,0.9120521172638436,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8762214983713354,0.10501396150746795,0.9044516829533116,0.10732604336500426,0.8642779587404995,0.09938859841457245,0.8697068403908795,0.1012588782069302,0.8393051031487514,0.09292507636663465,0.8675352877307275,0.10256132756132778,0.8458197611292074,0.09671951425198161,0.8490770901194354,0.09534350930454846,0.8642779587404995,0.09752956278930316,0.8599348534201955,0.10193352823222951,0.9196525515743756,10
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8338762214983714,0.09161600810536984,0.8599348534201955,0.09913036136440395,0.8903365906623235,0.1078750609778976,0.8577633007600435,0.09720439791361768,0.8534201954397395,0.09482156928965436,0.8512486427795874,0.09548951180156853,0.8957654723127035,0.1091598183796763,0.8838219326818675,0.10504146497054283,0.8610206297502715,0.09991463094299984,0.8577633007600435,0.09974717625426838,0.9185667752442996,10
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8469055374592834,0.09773269689737496,0.8653637350705755,0.10341137250445119,0.8794788273615635,0.11044626283289762,0.8382193268186754,0.09578313823540553,0.8686210640608035,0.1021219267340984,0.8523344191096635,0.09787570557260289,0.8382193268186754,0.09702854491040644,0.8751357220412594,0.10780533772777202,0.8327904451682954,0.09447948630526204,0.8393051031487514,0.09331552827972867,0.9098805646036916,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8523344191096635,0.09559067529450814,0.8599348534201955,0.0961681691646849,0.8610206297502715,0.09439052043581665,0.8979370249728555,0.10936434194273928,0.8588490770901195,0.09475324004940734,0.8523344191096635,0.09336780782773835,0.8881650380021715,0.10676953708312595,0.8729641693811075,0.09662260568183927,0.8870792616720955,0.10672298729790024,0.8892508143322475,0.1062501152222407,0.9348534201954397,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8610206297502715,0.09821803820030775,0.8740499457111836,0.10347808548163145,0.8729641693811075,0.10515826109797742,0.8642779587404995,0.09753555480505822,0.8599348534201955,0.1007640999662276,0.8610206297502715,0.10124348005553666,0.8469055374592834,0.0984291155390446,0.8545059717698155,0.09907735749934318,0.8664495114006515,0.1002152988855117,0.8490770901194354,0.0958807084693611,0.9185667752442996,100
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8566775244299675,0.10166610379376326,0.8490770901194354,0.09338999587226535,0.8707926167209555,0.10297900484070704,0.8403908794788274,0.09500966265150669,0.8523344191096635,0.09600735487260306,0.8490770901194354,0.09784654208413075,0.8783930510314875,0.10656919584224539,0.8610206297502715,0.1018748358287363,0.8849077090119435,0.10848671619948189,0.8523344191096635,0.09617058801455965,0.9185667752442996,100
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8610206297502715,0.10080864301643516,0.8175895765472313,0.08937051404583866,0.8490770901194354,0.09896272558610214,0.8870792616720955,0.10818481662637495,0.8707926167209555,0.10591115233972367,0.8523344191096635,0.1001311819493638,0.8469055374592834,0.09959239894304821,0.8273615635179153,0.09792264013043245,0.8577633007600435,0.10623395363655107,0.8273615635179153,0.0928819737261297,0.9196525515743756,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8621064060803475,0.10469231926577907,0.8534201954397395,0.10041187090950116,0.8664495114006515,0.10279611449635134,0.8306188925081434,0.09326149101030616,0.8512486427795874,0.09967134958248705,0.8555917480998915,0.09998072293688402,0.8458197611292074,0.09830267810125642,0.8512486427795874,0.09949785601444365,0.8284473398479913,0.0937335439705108,0.8740499457111836,0.10765205371248006,0.9163952225841476,100
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8642779587404995,0.10521647541437996,0.8751357220412594,0.1038037954801634,0.8729641693811075,0.10177993976014939,0.8447339847991314,0.09260675942864531,0.8783930510314875,0.10451567899181409,0.8707926167209555,0.09982122068850839,0.8827361563517915,0.10173328159358422,0.8588490770901195,0.09955420662638362,0.8534201954397395,0.09626180313025487,0.8371335504885994,0.09470683888611724,0.9326818675352877,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.8859934853420195,0.10805597229167832,0.8577633007600435,0.09887064510751786,0.8870792616720955,0.10594173102924578,0.8512486427795874,0.09932766572206479,0.8718783930510315,0.10490961456539048,0.8371335504885994,0.0944958418995759,0.8175895765472313,0.08835824489266741,0.8523344191096635,0.1028046341056842,0.8447339847991314,0.09562612287233058,0.8599348534201955,0.10160952751384485,0.9305103148751357,100
