Trial,Combination,Clients,Client 1 Accuracy,Client 1 Shapley Value,Client 2 Accuracy,Client 2 Shapley Value,Client 3 Accuracy,Client 3 Shapley Value,Client 4 Accuracy,Client 4 Shapley Value,Client 5 Accuracy,Client 5 Shapley Value,Client 6 Accuracy,Client 6 Shapley Value,Client 7 Accuracy,Client 7 Shapley Value,Client 8 Accuracy,Client 8 Shapley Value,Client 9 Accuracy,Client 9 Shapley Value,Client 10 Accuracy,Client 10 Shapley Value,Global Accuracy,Subsample Ratio,Max Depth
1,0000000010,2,,,0.4129618768328446,0.036486520338128554,,,,,,,,,,,,,,,,,0.41685239491691106,0.5,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.48713587487781035,0.04301664392742214,0.4129618768328446,0.036486520338128554,0.564496578690127,0.07890169448828212,0.6546432062561095,0.1058448414374309,0.7588660801564028,0.13549290002811992,0.6308699902248289,0.09759689934788297,0.7527859237536657,0.13813601525875638,0.7729814271749755,0.14722066981452592,0.7200977517106549,0.1184048075949429,0.6541153470185729,0.09889900776450823,0.8795503421309873,0.5,10
2,0000000001,1,0.4671749755620723,0.04746051128523348,,,,,,,,,,,,,,,,,,,0.470772238514174,0.5,10
2,0000000010,2,,,0.4664516129032258,0.05219556507253672,,,,,,,,,,,,,,,,,0.458435972629521,0.5,10
2,0000000100,3,,,,,0.4741348973607038,0.04434336208343649,,,,,,,,,,,,,,,0.47348973607038125,0.5,10
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4671749755620723,0.04746051128523348,0.4664516129032258,0.05219556507253672,0.4741348973607038,0.04434336208343649,0.6436950146627566,0.110944955146425,0.732336265884653,0.13947411566048415,0.62297165200391,0.09602212591435573,0.7527663734115347,0.14567612176614678,0.7343108504398826,0.14392540265792642,0.7238123167155425,0.12771623392142292,0.6198826979472141,0.0922416064920323,0.8725708699902248,0.5,10
3,0000000010,2,,,0.48805474095796675,0.048502161855699076,,,,,,,,,,,,,,,,,0.48512218963831866,0.5,10
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5689736070381232,0.0646366630419772,0.48805474095796675,0.048502161855699076,0.5244965786901271,0.07051344383488597,0.704652981427175,0.11810054022429049,0.7455913978494624,0.13500585595036635,0.6988074291300098,0.11107563637086579,0.753900293255132,0.1363659044168315,0.7299902248289345,0.13215478560192404,0.6848289345063538,0.10378047836670988,0.6146236559139785,0.07986453033645012,0.8741153470185729,0.5,10
4,0000000001,1,0.4995112414467253,0.05432001546864162,,,,,,,,,,,,,,,,,,,0.49544477028347994,0.5,10
4,0000000100,3,,,,,0.5823069403714565,0.07164528250577862,,,,,,,,,,,,,,,0.5872140762463343,0.5,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4995112414467253,0.05432001546864162,0.5751906158357771,0.0633997637323925,0.5823069403714565,0.07164528250577862,0.7072922776148582,0.11974353133547701,0.7566177908113392,0.13615836463261102,0.573919843597263,0.08167390655598461,0.7608993157380254,0.1342794544301943,0.766099706744868,0.14014486841942617,0.7241251221896383,0.12343068335726032,0.6182209188660801,0.0752041295622339,0.8786901270772238,0.5,10
5,0000000001,1,0.43454545454545457,0.02834628015895896,,,,,,,,,,,,,,,,,,,0.4258846529814272,0.5,10
5,0000000010,2,,,0.4955034213098729,0.05839607009200564,,,,,,,,,,,,,,,,,0.4890909090909091,0.5,10
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.43454545454545457,0.02834628015895896,0.4955034213098729,0.05839607009200564,0.5737243401759531,0.08154000352663296,0.7147800586510263,0.11922037830705443,0.7392766373411535,0.12842942176242247,0.7696187683284458,0.1336760097802471,0.7479374389051808,0.13088629178065742,0.7024437927663734,0.12827971584207865,0.663108504398827,0.09734149245557483,0.6544672531769306,0.09388433629436764,0.8817008797653959,0.5,10
6,0000000001,1,0.5003519061583578,0.0530052668336622,,,,,,,,,,,,,,,,,,,0.5043988269794721,0.5,10
6,0000000010,2,,,0.4216813294232649,0.04035668171878587,,,,,,,,,,,,,,,,,0.4270185728250244,0.5,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5003519061583578,0.0530052668336622,0.4216813294232649,0.04035668171878587,0.6095405669599218,0.0890006181366069,0.6395112414467253,0.09760851359970918,0.7332746823069404,0.13653797210359356,0.5978299120234604,0.09080182983924225,0.7563636363636363,0.13774538896844404,0.7590224828934506,0.14133029087621918,0.733880742913001,0.12035707597448034,0.6511241446725318,0.09325636194925639,0.881564027370479,0.5,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4351124144672532,0.040520426490993286,0.44177908113391984,0.04796250197004263,0.5118475073313783,0.06918388984188048,0.7278396871945259,0.12172274399834605,0.7372434017595307,0.12381177027248555,0.7606842619745846,0.13139423213614387,0.7617986314760509,0.1371435363468933,0.7610557184750734,0.141873253506676,0.6900488758553275,0.10789894110862223,0.6191397849462366,0.07848870432791628,0.8840860215053763,0.5,10
8,0000000001,1,0.4337047898338221,0.04248811023004571,,,,,,,,,,,,,,,,,,,0.4300097751710655,0.5,10
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4337047898338221,0.04248811023004571,0.5858651026392961,0.0842513463481205,0.5783577712609971,0.0768143453627324,0.646158357771261,0.10082186049927987,0.7193352883675465,0.12795104569298116,0.579941348973607,0.07670794686923721,0.7624828934506354,0.1418529394335847,0.7157380254154447,0.12781760846276974,0.7125122189638319,0.1155171832591188,0.6726881720430108,0.10577761384213007,0.8745454545454545,0.5,10
9,0000000001,1,0.47943304007820137,0.047985683838661954,,,,,,,,,,,,,,,,,,,0.47237536656891493,0.5,10
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.47943304007820137,0.047985683838661954,0.48381231671554253,0.06087017568945145,0.5485434995112415,0.07104927264979699,0.6361290322580645,0.09998967610169601,0.7038905180840664,0.12406691877964224,0.6568328445747801,0.11096529605134452,0.7500097751710655,0.13186341829341414,0.7670185728250244,0.14790068285340127,0.675425219941349,0.10935824478434172,0.6470185728250244,0.09595063095824975,0.8724535679374389,0.5,10
10,0000000001,1,0.5472140762463343,0.06904146664784955,,,,,,,,,,,,,,,,,,,0.5535483870967742,0.5,10
10,0000000010,2,,,0.5457282502443793,0.06291504562781158,,,,,,,,,,,,,,,,,0.5472336265884653,0.5,10
10,0000000100,3,,,,,0.5803519061583577,0.0656321331853246,,,,,,,,,,,,,,,0.5754643206256109,0.5,10
10,1000000000,10,,,,,,,,,,,,,,,,,,,0.640019550342131,0.0809561724455341,0.6333137829912023,0.5,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5472140762463343,0.06904146664784955,0.5457282502443793,0.06291504562781158,0.5803519061583577,0.0656321331853246,0.6950537634408602,0.10883099313950387,0.7544086021505376,0.12894745341553848,0.7445747800586511,0.12082094076774942,0.7532160312805474,0.1290035446950341,0.74455522971652,0.12909333813589127,0.716911045943304,0.104758911939763,0.640019550342131,0.0809561724455341,0.8839491691104594,0.5,10
1,0000000001,1,0.31824046920821114,0.006960908770285263,,,,,,,,,,,,,,,,,,,0.3170674486803519,0.5,100
1,0000000010,2,,,0.2672531769305963,0.005385387116738433,,,,,,,,,,,,,,,,,0.27176930596285437,0.5,100
1,0000000100,3,,,,,0.3130987292277615,0.009689716189009937,,,,,,,,,,,,,,,0.31124144672531767,0.5,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.31824046920821114,0.006960908770285263,0.2672531769305963,0.005385387116738433,0.3130987292277615,0.009689716189009937,0.6178494623655914,0.131899277651615,0.6408797653958944,0.14072864050667247,0.630654936461388,0.1335093472528732,0.7137243401759531,0.16423830094207428,0.5916324535679375,0.1175396718630054,0.6920039100684262,0.14678275239753688,0.6865493646138807,0.1432659973101892,0.8719648093841642,0.5,100
2,0000000001,1,0.28160312805474097,0.002425070971436893,,,,,,,,,,,,,,,,,,,0.286158357771261,0.5,100
2,0000000010,2,,,0.34703812316715543,0.03326569498248696,,,,,,,,,,,,,,,,,0.3526490713587488,0.5,100
2,0000000100,3,,,,,0.31300097751710654,0.009634786953082689,,,,,,,,,,,,,,,0.3142717497556207,0.5,100
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.28160312805474097,0.002425070971436893,0.34703812316715543,0.03326569498248696,0.31300097751710654,0.009634786953082689,0.6072922776148583,0.12300442225254267,0.727585532746823,0.16381496068212845,0.6005083088954056,0.1061286492364187,0.7420723362658846,0.16782922378160445,0.7005669599217986,0.15289761655676448,0.6611925708699902,0.12297212178164552,0.6389833822091887,0.11802745280188902,0.8658651026392962,0.5,100
3,0000000001,1,0.3397262952101662,0.01358865321887831,,,,,,,,,,,,,,,,,,,0.3393939393939394,0.5,100
3,0000000010,2,,,0.3675073313782991,0.023663724628354896,,,,,,,,,,,,,,,,,0.3674095796676442,0.5,100
3,0000000100,3,,,,,0.3486021505376344,0.01647965289444389,,,,,,,,,,,,,,,0.3546627565982405,0.5,100
3,0000000111,"1,2,3",0.3397262952101662,0.01358865321887831,0.3675073313782991,0.023663724628354896,0.3486021505376344,0.01647965289444389,,,,,,,,,,,,,,,0.3734506353861193,0.5,100
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.3397262952101662,0.01358865321887831,0.3675073313782991,0.023663724628354896,0.3486021505376344,0.01647965289444389,0.6978103616813294,0.13195123026312747,0.7033822091886608,0.1467119518566463,0.6971456500488759,0.131821768799261,0.7712805474095796,0.16473267711209819,0.6636950146627566,0.12769992601182312,0.6927077223851418,0.1289801302663038,0.6467448680351906,0.11437028494906307,0.8694623655913979,0.5,100
4,0000000001,1,0.3312805474095797,0.014575914647453394,,,,,,,,,,,,,,,,,,,0.32789833822091885,0.5,100
4,0000000010,2,,,0.2926490713587488,0.006308034305955213,,,,,,,,,,,,,,,,,0.2798435972629521,0.5,100
4,0000000100,3,,,,,0.35327468230694037,0.017541224384353335,,,,,,,,,,,,,,,0.35839687194525904,0.5,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.3312805474095797,0.014575914647453394,0.2926490713587488,0.006308034305955213,0.35327468230694037,0.017541224384353335,0.690733137829912,0.1395005523316984,0.7594134897360704,0.16608624820044168,0.5763245356793744,0.10419562726463996,0.7453763440860215,0.15811086590635465,0.7132551319648094,0.1456106663004564,0.7064516129032258,0.14258654823028533,0.6416617790811339,0.10548431842836191,0.8745063538611926,0.5,100
5,0000000001,1,0.27869012707722385,0.008578668043984355,,,,,,,,,,,,,,,,,,,0.2726490713587488,0.5,100
5,0000000010,2,,,0.2625415444770283,0.0009031072700202167,,,,,,,,,,,,,,,,,0.2742130987292278,0.5,100
5,0000000100,3,,,,,0.31194525904203324,0.014751512500833196,,,,,,,,,,,,,,,0.31499511241446726,0.5,100
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.27869012707722385,0.008578668043984355,0.2625415444770283,0.0009031072700202167,0.31194525904203324,0.014751512500833196,0.6699902248289346,0.1331913509155208,0.7348973607038123,0.1585206292887459,0.7327272727272728,0.1517530591316268,0.7397458455522972,0.15687618006788936,0.7061192570869991,0.14907243143977092,0.6385728250244379,0.11523964222533756,0.6379276637341154,0.111113419116271,0.8705962854349951,0.5,100
6,0000000001,1,0.29530791788856303,0.007195123993682724,,,,,,,,,,,,,,,,,,,0.2978103616813294,0.5,100
6,0000000010,2,,,0.30197458455522974,0.008855894938195613,,,,,,,,,,,,,,,,,0.3140175953079179,0.5,100
6,0000000100,3,,,,,0.35347018572825023,0.026685750704137035,,,,,,,,,,,,,,,0.35241446725317693,0.5,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.29530791788856303,0.007195123993682724,0.30197458455522974,0.008855894938195613,0.35347018572825023,0.026685750704137035,0.6318279569892473,0.1280972051176793,0.7147409579667644,0.16108581064130648,0.5627565982404692,0.09020968031609192,0.7820332355816226,0.18565064256066388,0.6864125122189638,0.14464758761802127,0.6640860215053763,0.1279571438549079,0.652336265884653,0.11961516025531382,0.870850439882698,0.5,100
