Nash Equilibrium,Occurrences,Subsample Ratio,Max Depth
0000000001,7,0.5,10
0000100000,1,0.5,10
1111111111,10,0.5,10
0000000010,7,0.5,10
0000000100,3,0.5,10
0000001000,2,0.5,10
1000000000,1,0.5,10
0000000001,9,0.5,100
0000000010,10,0.5,100
0000000100,8,0.5,100
0000001000,10,0.5,100
0000010000,9,0.5,100
0000100000,9,0.5,100
0001000000,9,0.5,100
0010000000,8,0.5,100
0011111111,1,0.5,100
1111111111,10,0.5,100
1111111111,10,0.8,10
0000000001,6,0.8,10
0000000010,5,0.8,10
0000000100,1,0.8,10
0000100000,1,0.8,10
0000001000,2,0.8,10
0000000001,8,0.8,100
0000000010,10,0.8,100
0000000100,8,0.8,100
0000001000,9,0.8,100
0000010000,7,0.8,100
0010000000,9,0.8,100
1111111111,10,0.8,100
0000100000,4,0.8,100
0001000000,7,0.8,100
0011111111,4,0.8,100
