Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0000000111,6,"[1, 2, 3]",0.8034744842562432,2,4,3,10,0.7730727470141151,0.7904451682953312,0.6851248642779587,0.8935939196525515,0.8805646036916395,0.9022801302931596,0.8881650380021715,0.9066232356134636,0.9087947882736156,0.9174809989142236
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,2,4,3,10,0.7730727470141151,0.7904451682953312,0.6851248642779587,0.8935939196525515,0.8805646036916395,0.9022801302931596,0.8881650380021715,0.9066232356134636,0.9087947882736156,0.9174809989142236
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,3,4,3,10,0.7122692725298588,0.750271444082519,0.760043431053203,0.9185667752442996,0.8718783930510315,0.8957654723127035,0.8870792616720955,0.9033659066232356,0.8935939196525515,0.8946796959826275
0000000111,6,"[1, 2, 3]",0.8219326818675353,4,4,3,10,0.7643865363735071,0.7035830618892508,0.755700325732899,0.8881650380021715,0.8957654723127035,0.8903365906623235,0.8892508143322475,0.8914223669923995,0.9218241042345277,0.8859934853420195
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.9120521172638436,4,4,3,10,0.7643865363735071,0.7035830618892508,0.755700325732899,0.8881650380021715,0.8957654723127035,0.8903365906623235,0.8892508143322475,0.8914223669923995,0.9218241042345277,0.8859934853420195
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,5,4,3,10,0.7926167209554832,0.7144408251900108,0.6894679695982627,0.8903365906623235,0.8762214983713354,0.8903365906623235,0.8794788273615635,0.9185667752442996,0.8914223669923995,0.8881650380021715
0000000111,6,"[1, 2, 3]",0.8306188925081434,6,4,3,10,0.7741585233441911,0.7709011943539631,0.6862106406080347,0.9001085776330076,0.8968512486427795,0.9022801302931596,0.8957654723127035,0.8773072747014115,0.9120521172638436,0.9066232356134636
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9142236699239956,6,4,3,10,0.7741585233441911,0.7709011943539631,0.6862106406080347,0.9001085776330076,0.8968512486427795,0.9022801302931596,0.8957654723127035,0.8773072747014115,0.9120521172638436,0.9066232356134636
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9174809989142236,7,4,3,10,0.7763300760043431,0.7980456026058632,0.7904451682953312,0.8892508143322475,0.8827361563517915,0.8881650380021715,0.8881650380021715,0.9066232356134636,0.9109663409337676,0.9109663409337676
0000000111,6,"[1, 2, 3]",0.740499457111835,8,4,3,10,0.7252985884907709,0.6927252985884907,0.6612377850162866,0.9044516829533116,0.8783930510314875,0.8925081433224755,0.8979370249728555,0.9066232356134636,0.9066232356134636,0.8794788273615635
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,8,4,3,10,0.7252985884907709,0.6927252985884907,0.6612377850162866,0.9044516829533116,0.8783930510314875,0.8925081433224755,0.8979370249728555,0.9066232356134636,0.9066232356134636,0.8794788273615635
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9305103148751357,9,4,3,10,0.8002171552660152,0.7915309446254072,0.7209554831704669,0.8588490770901195,0.8979370249728555,0.8957654723127035,0.8827361563517915,0.9087947882736156,0.9011943539630836,0.8870792616720955
0000000111,6,"[1, 2, 3]",0.8197611292073833,10,4,3,10,0.7676438653637351,0.7144408251900108,0.750271444082519,0.8925081433224755,0.8816503800217155,0.8925081433224755,0.9011943539630836,0.9055374592833876,0.9087947882736156,0.8827361563517915
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,10,4,3,10,0.7676438653637351,0.7144408251900108,0.750271444082519,0.8925081433224755,0.8816503800217155,0.8925081433224755,0.9011943539630836,0.9055374592833876,0.9087947882736156,0.8827361563517915
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9207383279044516,11,4,3,10,0.6688382193268186,0.6883821932681867,0.7828447339847991,0.8979370249728555,0.9066232356134636,0.9120521172638436,0.9055374592833876,0.8957654723127035,0.8903365906623235,0.8794788273615635
0000000111,6,"[1, 2, 3]",0.7741585233441911,12,4,3,10,0.6851248642779587,0.7263843648208469,0.6851248642779587,0.8773072747014115,0.9077090119435396,0.9011943539630836,0.8968512486427795,0.9077090119435396,0.8794788273615635,0.9077090119435396
