Trial,Combination,Clients,Global Accuracy,Subsample Ratio,Max Iter
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6095150585038269,0.5,10
2,1111011111,"1,2,3,4,5,7,8,9,10",0.6204435929267553,0.5,10
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6092315813139656,0.5,10
3,1110111111,"1,2,3,4,5,6,8,9,10",0.613591264992522,0.5,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.608195423309645,0.5,10
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6040703414433877,0.5,10
6,0000000011,"1,2",0.43158913402606036,0.5,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6084300251219441,0.5,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5917048709201279,0.5,10
8,1110101011,"1,2,4,6,8,9,10",0.5791732241131563,0.5,10
9,1011111111,"1,2,3,4,5,6,7,8,10",0.6008250163732515,0.5,10
9,1110111111,"1,2,3,4,5,6,8,9,10",0.5991046030830588,0.5,10
9,1111101111,"1,2,3,4,6,7,8,9,10",0.5933764088327582,0.5,10
9,1111110111,"1,2,3,5,6,7,8,9,10",0.5925357523386868,0.5,10
9,1111111011,"1,2,4,5,6,7,8,9,10",0.5927899043020107,0.5,10
10,1111101111,"1,2,3,4,6,7,8,9,10",0.602838681928818,0.5,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6145589974682555,0.5,100
2,1111011111,"1,2,3,4,5,7,8,9,10",0.6241776717725145,0.5,100
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6163771615135727,0.5,100
3,0000000011,"1,2",0.4434072003206225,0.5,100
3,1110111111,"1,2,3,4,5,6,8,9,10",0.615018426017341,0.5,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6084202500464316,0.5,100
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6035522624412274,0.5,100
6,0000000011,"1,2",0.4315011583464482,0.5,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6089285539730794,0.5,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5977947429643894,0.5,100
8,0000000011,"1,2",0.42908671469487103,0.5,100
8,1110101111,"1,2,3,4,6,8,9,10",0.5987233751380729,0.5,100
9,1011111111,"1,2,3,4,5,6,7,8,10",0.6034838369126402,0.5,100
9,1110111111,"1,2,3,4,5,6,8,9,10",0.6025454296634442,0.5,100
10,1111101111,"1,2,3,4,6,7,8,9,10",0.6035913627432772,0.5,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.609153380709866,0.6,10
2,1111011111,"1,2,3,4,5,7,8,9,10",0.619456310299997,0.6,10
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6080976725545205,0.6,10
3,1110111111,"1,2,3,4,5,6,8,9,10",0.6125844322147389,0.6,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6078630707422215,0.6,10
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6041778672740247,0.6,10
6,0000000011,"1,2",0.4355382645330935,0.6,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6083909248198942,0.6,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5928290046040605,0.6,10
8,0000000011,"1,2",0.428382909257974,0.6,10
8,1110101111,"1,2,3,4,6,8,9,10",0.5960352293721469,0.6,10
9,1011111111,"1,2,3,4,5,6,7,8,10",0.6014310710550239,0.6,10
9,1110111111,"1,2,3,4,5,6,8,9,10",0.5971202627540297,0.6,10
10,1111101111,"1,2,3,4,6,7,8,9,10",0.6009325422038885,0.6,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6146274229968427,0.6,100
2,1111011111,"1,2,3,4,5,7,8,9,10",0.6230828633151191,0.6,100
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6149402254132413,0.6,100
3,0000000011,"1,2",0.4437004525859962,0.6,100
3,1110111111,"1,2,3,4,5,6,8,9,10",0.6136890157476467,0.6,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6077653199870969,0.6,100
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6035424873657149,0.6,100
6,0000000011,"1,2",0.4358217417229548,0.6,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6097105600140761,0.6,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5993294298198454,0.6,100
8,0000000011,"1,2",0.4305725261727647,0.6,100
8,1110101111,"1,2,3,4,6,8,9,10",0.5981564207583504,0.6,100
9,1011111111,"1,2,3,4,5,6,7,8,10",0.6026725056451061,0.6,100
9,1110111111,"1,2,3,4,5,6,8,9,10",0.5997106577648312,0.6,100
10,1111101111,"1,2,3,4,6,7,8,9,10",0.603503387063665,0.6,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6091436056343535,0.7,10
2,1111011111,"1,2,3,4,5,7,8,9,10",0.6192217084876981,0.7,10
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6064652349439399,0.7,10
3,1110111111,"1,2,3,4,5,6,8,9,10",0.6105805417346849,0.7,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6068269127379009,0.7,10
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6040019159148005,0.7,10
6,0000000011,"1,2",0.43314337103254125,0.7,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6089383290485919,0.7,10
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5934252842103205,0.7,10
8,0000000011,"1,2",0.42974164475420573,0.7,10
8,1110101011,"1,2,4,6,8,9,10",0.5786746952620209,0.7,10
9,1011111111,"1,2,3,4,5,6,7,8,10",0.6042267426515869,0.7,10
9,1110111111,"1,2,3,4,5,6,8,9,10",0.600834791448764,0.7,10
10,1111101111,"1,2,3,4,6,7,8,9,10",0.6029559828349674,0.7,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6148815749601666,0.7,100
2,1111011111,"1,2,3,4,5,7,8,9,10",0.6233761155804929,0.7,100
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6144807968641558,0.7,100
3,0000000011,"1,2",0.4384805622623435,0.7,100
3,1110111111,"1,2,3,4,5,6,8,9,10",0.6124671313085893,0.7,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6073645418910861,0.7,100
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6034936119881527,0.7,100
6,0000000011,"1,2",0.4342772797919864,0.7,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6094857332772896,0.7,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.5993685301218952,0.7,100
8,0000000011,"1,2",0.43283056861614255,0.7,100
8,1110101111,"1,2,3,4,6,8,9,10",0.5973255393397914,0.7,100
9,1011111111,"1,2,3,4,5,6,7,8,10",0.6052629006559076,0.7,100
9,1110111111,"1,2,3,4,5,6,8,9,10",0.6031808095717539,0.7,100
10,1111101111,"1,2,3,4,6,7,8,9,10",0.6050967243721957,0.7,100
1,1110110111,"1,2,3,5,6,8,9,10",0.6080292470259333,0.8,10
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6093195569935778,0.8,10
2,1111011111,"1,2,3,4,5,7,8,9,10",0.618987106675399,0.8,10
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6067291619827763,0.8,10
3,1110111111,"1,2,3,4,5,6,8,9,10",0.6107760432449341,0.8,10
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6072374659094242,0.8,10
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6041778672740247,0.8,10
6,0000000011,"1,2",0.43395470230007527,0.8,10
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.608107447630033,0.8,10
