Trial,Combination,Clients,Global Accuracy,Max Depth,Client 1 Accuracy,Client 1 Shapley Value,Client 2 Accuracy,Client 2 Shapley Value,Client 3 Accuracy,Client 3 Shapley Value,Client 4 Accuracy,Client 4 Shapley Value,Client 5 Accuracy,Client 5 Shapley Value,Client 6 Accuracy,Client 6 Shapley Value,Client 7 Accuracy,Client 7 Shapley Value,Client 8 Accuracy,Client 8 Shapley Value,Client 9 Accuracy,Client 9 Shapley Value,Client 10 Accuracy,Client 10 Shapley Value
1,0000000010,2,0.7937024972855592,10,,,0.7937024972855592,0.0876681423463307,,,,,,,,,,,,,,,,
1,0000000100,3,0.8002171552660152,10,,,,,0.8002171552660152,0.08831942789034565,,,,,,,,,,,,,,
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9109663409337676,10,0.8241042345276873,0.0897359857729348,0.7937024972855592,0.0876681423463307,0.8002171552660152,0.08831942789034565,0.8577633007600435,0.10406852450952572,0.8501628664495114,0.10080405622717896,0.8903365906623235,0.11339084700228899,0.8241042345276873,0.098852091492139,0.8740499457111836,0.10990124297633222,0.8588490770901195,0.10456751234462784,0.8501628664495114,0.10269216943829575
2,0000000010,2,0.8469055374592834,10,,,0.8469055374592834,0.09902780114794281,,,,,,,,,,,,,,,,
2,0000000100,3,0.8241042345276873,10,,,,,0.8241042345276873,0.0893118888701929,,,,,,,,,,,,,,
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9218241042345277,10,0.8599348534201955,0.10490960420289046,0.8469055374592834,0.09902780114794281,0.8241042345276873,0.0893118888701929,0.8707926167209555,0.10079505300353366,0.8697068403908795,0.10214397891076335,0.8718783930510315,0.10187195019350481,0.8816503800217155,0.10597668592368234,0.8631921824104235,0.1014255800474881,0.8588490770901195,0.0980892553330716,0.8631921824104235,0.09644820236693036
3,0000000010,2,0.8414766558089034,10,,,0.8414766558089034,0.09196220446220442,,,,,,,,,,,,,,,,
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9315960912052117,10,0.8479913137893594,0.09696830946830948,0.8414766558089034,0.09196220446220442,0.8403908794788274,0.09513495763495777,0.8957654723127035,0.11212121212121207,0.8545059717698155,0.09657842157842148,0.8447339847991314,0.0967291967291967,0.8707926167209555,0.10351685351685358,0.8903365906623235,0.10821169571169564,0.8631921824104235,0.10483451733451714,0.8501628664495114,0.09394263144263136
4,0000000100,3,0.8241042345276873,10,,,,,0.8241042345276873,0.08978835978835988,,,,,,,,,,,,,,
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9283387622149837,10,0.8002171552660152,0.08881230854915066,0.8078175895765473,0.08291469414276462,0.8241042345276873,0.08978835978835988,0.8566775244299675,0.10022138680033421,0.8729641693811075,0.11009143228441465,0.8403908794788274,0.0971939107026825,0.8794788273615635,0.10437250533741754,0.8892508143322475,0.10935115566694498,0.8881650380021715,0.1079629629629628,0.8870792616720955,0.10929128376496793
5,0000000001,1,0.7915309446254072,10,0.7915309446254072,0.0758817301025092,,,,,,,,,,,,,,,,,,
5,0000000010,2,0.8175895765472313,10,,,0.8175895765472313,0.08813318715916106,,,,,,,,,,,,,,,,
5,0000010011,"1,2,5",0.8545059717698155,10,0.7915309446254072,0.0758817301025092,0.8175895765472313,0.08813318715916106,,,,,0.8512486427795874,0.09658598976780794,,,,,,,,,,
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9196525515743756,10,0.7915309446254072,0.0758817301025092,0.8175895765472313,0.08813318715916106,0.8740499457111836,0.10213358070500923,0.8870792616720955,0.10876529675230959,0.8512486427795874,0.09658598976780794,0.8653637350705755,0.1042264013043233,0.8935939196525515,0.11069132887314709,0.8718783930510315,0.10188292948033202,0.8675352877307275,0.1050284852232903,0.8794788273615635,0.10667107063210925
6,0000000001,1,0.8251900108577633,10,0.8251900108577633,0.08788811689167542,,,,,,,,,,,,,,,,,,
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9153094462540716,10,0.8251900108577633,0.08788811689167542,0.8317046688382194,0.09324549511382246,0.8262757871878393,0.09307132501082671,0.8555917480998915,0.10339208043834362,0.8458197611292074,0.09612259692330871,0.8740499457111836,0.11080137076578353,0.8729641693811075,0.10385810314635922,0.8631921824104235,0.10259513453463624,0.8653637350705755,0.10594908584232422,0.8599348534201955,0.10307669133291918
7,0000000001,1,0.8121606948968513,10,0.8121606948968513,0.08839731322000835,,,,,,,,,,,,,,,,,,
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9185667752442996,10,0.8121606948968513,0.08839731322000835,0.8599348534201955,0.09960880333220759,0.8469055374592834,0.10204745018574808,0.8545059717698155,0.09980627790911478,0.8523344191096635,0.0992659199219485,0.8751357220412594,0.10878410071672483,0.8555917480998915,0.10089543697699745,0.8436482084690554,0.09606504934519132,0.8751357220412594,0.10524128485121384,0.8458197611292074,0.09988836354084593
8,0000000001,1,0.8295331161780674,10,0.8295331161780674,0.09315756963162636,,,,,,,,,,,,,,,,,,
8,0000000010,2,0.8273615635179153,10,,,0.8273615635179153,0.08613497678945782,,,,,,,,,,,,,,,,
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9207383279044516,10,0.8295331161780674,0.09315756963162636,0.8273615635179153,0.08613497678945782,0.8707926167209555,0.10353258834980526,0.8664495114006515,0.10214510332434852,0.8501628664495114,0.09822832434860726,0.8545059717698155,0.09915487421383631,0.8718783930510315,0.10534731581311758,0.8838219326818675,0.10493691973644807,0.8718783930510315,0.10699872716382143,0.8588490770901195,0.10036360062893086
9,0000000001,1,0.8165038002171553,10,0.8165038002171553,0.09362554545627758,,,,,,,,,,,,,,,,,,
9,0000000010,2,0.8230184581976113,10,,,0.8230184581976113,0.09386659425675047,,,,,,,,,,,,,,,,
9,0000000100,3,0.7958740499457112,10,,,,,0.7958740499457112,0.08639932163341536,,,,,,,,,,,,,,
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9044516829533116,10,0.8165038002171553,0.09362554545627758,0.8230184581976113,0.09386659425675047,0.7958740499457112,0.08639932163341536,0.8393051031487514,0.1015053640503819,0.8588490770901195,0.10594332971283743,0.8599348534201955,0.1078126488690713,0.8425624321389794,0.10445606814154233,0.8762214983713354,0.11354351264315236,0.8251900108577633,0.09677394767430765,0.8371335504885994,0.09607366756226285
10,0000000010,2,0.8317046688382194,10,,,0.8317046688382194,0.08718623108157984,,,,,,,,,,,,,,,,
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9337676438653637,10,0.8653637350705755,0.0953691399040237,0.8317046688382194,0.08718623108157984,0.8642779587404995,0.09593761535622003,0.9033659066232356,0.11083148763381319,0.8501628664495114,0.09538805832410488,0.8653637350705755,0.10065291620524174,0.8870792616720955,0.10581533776301215,0.8653637350705755,0.09734173126614987,0.8870792616720955,0.10564830195644118,0.8935939196525515,0.10582918050941288
1,0000000010,2,0.8425624321389794,100,,,0.8425624321389794,0.09612977972907054,,,,,,,,,,,,,,,,
1,0000000100,3,0.8327904451682954,100,,,,,0.8327904451682954,0.09217325227963527,,,,,,,,,,,,,,
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9185667752442996,100,0.8425624321389794,0.09866130061165518,0.8425624321389794,0.09612977972907054,0.8327904451682954,0.09217325227963527,0.8588490770901195,0.09881140005253473,0.8621064060803475,0.10207887725618227,0.8642779587404995,0.10700917482832374,0.8458197611292074,0.10009850275807719,0.8490770901194354,0.09868944425682016,0.8664495114006515,0.10644536380351989,0.8414766558089034,0.09990290442418089
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9185667752442996,100,0.8273615635179153,0.09136693684566011,0.8219326818675353,0.09259493789635637,0.8349619978284474,0.09046118053210259,0.8143322475570033,0.0966251078839732,0.8686210640608035,0.10586654283462767,0.8490770901194354,0.10024625689519309,0.8892508143322475,0.11129029231866096,0.8653637350705755,0.10554335997598402,0.8773072747014115,0.10921798191301718,0.8349619978284474,0.09678740290442406
3,0000000001,1,0.7958740499457112,100,0.7958740499457112,0.07850355054302405,,,,,,,,,,,,,,,,,,
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9077090119435396,100,0.7958740499457112,0.07850355054302405,0.8251900108577633,0.08894442545758297,0.7958740499457112,0.09149578491683746,0.8805646036916395,0.11227548036758557,0.8621064060803475,0.10853791676160092,0.8577633007600435,0.10434751651856891,0.8566775244299675,0.105849377230956,0.8208469055374593,0.10026771474139877,0.8490770901194354,0.10963962937647152,0.8317046688382194,0.10013860408597243
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9098805646036916,100,0.8458197611292074,0.10080690987612202,0.7947882736156352,0.09128262681365294,0.8023887079261672,0.09543035193393194,0.8436482084690554,0.09607057620184112,0.8197611292073833,0.0896830132211992,0.8599348534201955,0.10301407356896616,0.8490770901194354,0.09993417812630231,0.8566775244299675,0.10561190665605943,0.8382193268186754,0.10582405197560327,0.8762214983713354,0.11234231162632115
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9218241042345277,100,0.8382193268186754,0.09695486753790637,0.8740499457111836,0.10164993362873215,0.8577633007600435,0.09665900125264075,0.8458197611292074,0.09522641015573867,0.8686210640608035,0.10392478546188788,0.8664495114006515,0.10055387290369615,0.8816503800217155,0.10280862639519897,0.8762214983713354,0.10349898106081853,0.8707926167209555,0.10142931927384205,0.8490770901194354,0.09729420232953799
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9153094462540716,100,0.8360477741585234,0.09451599540567529,0.8588490770901195,0.09965071833399207,0.8295331161780674,0.09103447626579297,0.8295331161780674,0.09543768476152813,0.8707926167209555,0.10475060724171041,0.8382193268186754,0.09882929446986373,0.8555917480998915,0.10515449358865711,0.8512486427795874,0.10518791541923217,0.8490770901194354,0.10136276337343966,0.8599348534201955,0.1040760511401081
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9381107491856677,100,0.8523344191096635,0.08906893004115234,0.8273615635179153,0.09032829952968849,0.8371335504885994,0.08915389844209272,0.8914223669923995,0.10225464800117544,0.8686210640608035,0.09764522707231021,0.8816503800217155,0.10561021090534964,0.8642779587404995,0.10087770061728382,0.9055374592833876,0.11082543356848897,0.8707926167209555,0.10288387345679016,0.9044516829533116,0.11135177836566706
8,0000000010,2,0.8121606948968513,100,,,0.8121606948968513,0.08855035159382986,,,,,,,,,,,,,,,,
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9239956568946797,100,0.8371335504885994,0.09478298173950356,0.8121606948968513,0.08855035159382986,0.8425624321389794,0.09648266278701072,0.8914223669923995,0.11382500512935297,0.8545059717698155,0.09902728815772299,0.8566775244299675,0.10380971033144937,0.8751357220412594,0.10852964766008241,0.8469055374592834,0.09724320593885821,0.8447339847991314,0.09857450618320181,0.8610206297502715,0.09917464047898839
9,0000000010,2,0.7698154180238871,100,,,0.7698154180238871,0.0821948000898471,,,,,,,,,,,,,,,,
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9207383279044516,100,0.8327904451682954,0.09282204627133868,0.7698154180238871,0.0821948000898471,0.8208469055374593,0.09184495732255166,0.8664495114006515,0.10602023435160214,0.8306188925081434,0.1043987720874513,0.8675352877307275,0.10882328167115894,0.8805646036916395,0.11269420110811611,0.8403908794788274,0.09820820230607952,0.8642779587404995,0.10757571503444138,0.8186753528773073,0.09541778975741227
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.9229098805646037,100,0.8067318132464713,0.08430999066293175,0.8295331161780674,0.09122689075630268,0.8121606948968513,0.08793557422969217,0.8881650380021715,0.11331792717086832,0.8653637350705755,0.1058403361344538,0.8534201954397395,0.10083146591970124,0.8805646036916395,0.112547619047619,0.8523344191096635,0.10402894491129758,0.8827361563517915,0.10836414565826341,0.8251900108577633,0.0915971055088702
