Nash Equilibrium,3 Low-Quality Clients,Max Iter,4 Low-Quality Clients,Max Iter,6 Low-Quality Clients,Max Iter,8 Low-Quality Clients,Max Iter,9 Low-Quality Clients,Max Iter
11111111,0,0,0,0,0,0,1,10,0,0
111111111,1,10,0,0,0,0,0,0,3,110
1011111111,0,0,0,0,1,10,0,0,0,0
1101111111,0,0,0,0,1,100,0,0,0,0
1110111111,0,0,0,0,1,100,0,0,0,0
1111000111,1,100,0,0,0,0,0,0,0,0
1111011111,0,0,1,10,0,0,0,0,0,0
1111101111,0,0,1,100,0,0,0,0,0,0
1111110111,1,10,0,0,0,0,0,0,0,0
1111111111,18,110,18,110,16,110,19,110,16,110
